"id","nombre","idprovincia"
"496","Mar Del Tuyu","1"
"497","Marcelino Ugarte (Est. Dennehy)","1"
"498","Marcos Paz","1"
"499","Maria Ignacia (Est. Vela)","1"
"500","Mariano Acosta","1"
"501","Mariano Benitez","1"
"502","Mariano H. Alfonzo (Est. San Patricio)","1"
"503","Mariano Unzue","1"
"504","Martin Coronado","1"
"505","Martinez","1"
"506","Massey (Est. Elordi)","1"
"507","Matheu","1"
"508","Mauricio Hirsch","1"
"509","Maximo Fernandez (Est. Juan F. Salaberry)","1"
"510","Maximo Paz","1"
"511","Mayor Buratovich","1"
"512","Maza","1"
"513","Mechita","1"
"514","Mechita (Est. Mecha)","1"
"515","Mechongue","1"
"516","Medanos","1"
"517","Mercedes","1"
"518","Merlo","1"
"519","Micaela Cascallares (Est. Cascallares)","1"
"520","Ministro Rivadavia","1"
"521","Mira Pampa","1"
"522","Miramar","1"
"523","Moctezuma","1"
"524","Mones Cazon","1"
"525","Monte Chingolo","1"
"526","Monte Grande","1"
"527","Monte Hermoso","1"
"528","Moquehua","1"
"529","Morea","1"
"530","Moreno","1"
"531","Moron","1"
"532","Morse","1"
"533","Munro","1"
"534","Muñiz","1"
"535","Napaleofu","1"
"536","Navarro","1"
"537","Necochea","1"
"538","Nicanor Olivera (Est. La Dulce)","1"
"539","Norberto De La Riestra","1"
"540","Norumbega","1"
"541","Nueva Plata","1"
"542","Obligado","1"
"543","Ochandio","1"
"544","O'Higgins","1"
"545","Olascoaga","1"
"546","Olavarria","1"
"547","Oliden","1"
"548","Olivera","1"
"549","Olivos","1"
"550","Open Door","1"
"551","Ordoqui","1"
"552","Orense","1"
"553","Oriente","1"
"554","Ostende","1"
"555","Pablo Podesta","1"
"556","Parada Orlando","1"
"557","Parada Robles","1"
"558","Parada Robles - Pavon","1"
"559","Pardo","1"
"560","Pasman","1"
"561","Paso Del Rey","1"
"562","Pasteur","1"
"563","Patricios","1"
"564","Paula","1"
"565","Pavon","1"
"566","Pavon","1"
"567","Pearson","1"
"568","Pedernales","1"
"569","Pedro Luro","1"
"570","Pehuajo","1"
"571","Pellegrini","1"
"572","Pereyra","1"
"573","Perez Millan","1"
"574","Pergamino","1"
"575","Pichincha","1"
"576","Piedritas","1"
"577","Pieres","1"
"578","Pig�oE","1"
"579","Pila","1"
"580","Pilar","1"
"581","Pinamar","1"
"582","Pinzon","1"
"583","Piñeyro","1"
"584","Pipinas","1"
"585","Pirovano","1"
"586","Pla","1"
"587","Platanos","1"
"588","Playa Dorada","1"
"589","Plomer","1"
"590","Polvaredas","1"
"591","Pontaut","1"
"592","Pontevedra","1"
"593","Porvenir","1"
"594","Presidente Derqui","1"
"595","Presidente Peron","1"
"596","Puan","1"
"597","Pueblo Doyle","1"
"598","Pueblo Gouin","1"
"599","Pueblo Nuevo","1"
"600","Pueblo San Jorge","1"
"601","Puerto Parana","1"
"602","Punta Alta (Est. Almirante Solier)","1"
"603","Punta Indio","1"
"604","Punta Lara","1"
"605","Punta Mogotes","1"
"606","Quenuma","1"
"607","Quequen","1"
"608","Quilmes","1"
"609","Quilmes Oeste","1"
"610","Rafael Calzada","1"
"611","Rafael Castillo","1"
"612","Rafael Obligado","1"
"613","Ramallo","1"
"614","Ramon Biaus","1"
"615","Ramon Santamarina","1"
"616","Ramos Mejia","1"
"617","Ramos Otero","1"
"618","Rancagua","1"
"619","Ranchos","1"
"620","Ranelagh","1"
"621","Rauch","1"
"622","Rawson","1"
"623","Recalde","1"
"624","Remedios De Escalada","1"
"625","Remedios Escalada De San Martin","1"
"626","Reta","1"
"627","Ricardo Rojas","1"
"628","Rincon De Milberg","1"
"629","Ringuelet","1"
"630","Rio Tala","1"
"631","Rivera","1"
"632","Roberto Cano","1"
"633","Roberto De Vicenzo","1"
"634","Roberto J. Payro","1"
"635","Roberts","1"
"636","Rojas","1"
"637","Roosevelt","1"
"638","Roque Perez","1"
"639","Rufino De Elizalde","1"
"640","Ruta Sol","1"
"641","Saavedra","1"
"642","Saenz Peña","1"
"643","Saforcada","1"
"644","Saladillo","1"
"645","Salazar","1"
"646","Saldungaray","1"
"647","Salliquelo","1"
"648","Salto","1"
"649","Salvador Maria","1"
"650","Samborombon","1"
"651","San Agustin","1"
"652","San Andres De Giles","1"
"653","San Antonio De Areco","1"
"654","San Antonio De Padua","1"
"655","San Bernardo","1"
"656","San Bernardo (Est. Guanaco)","1"
"657","San Carlos De Bolivar (Est. Bolivar)","1"
"658","San Cayetano","1"
"659","San Clemente Del Tuyu","1"
"660","San Emilio","1"
"661","San Enrique","1"
"662","San Fernando","1"
"663","San Francisco De Bellocq","1"
"664","San Francisco Solano","1"
"665","San Francisco Solano","1"
"666","San German","1"
"667","San Isidro","1"
"668","San Jose","1"
"669","San Jose","1"
"670","San Justo","1"
"671","San Manuel","1"
"672","San Mauricio","1"
"673","San Mayol","1"
"674","San Miguel","1"
"675","San Miguel Del Monte (Est. Monte)","1"
"676","San Nicolas De Los Arroyos","1"
"677","San Pedro","1"
"678","San Roman","1"
"679","San Sebastian","1"
"680","San Vicente","1"
"681","Sansinena","1"
"682","Santa Clara Del Mar","1"
"683","Santa Coloma","1"
"684","Santa Elena","1"
"685","Santa Eleodora","1"
"686","Santa Lucia","1"
"687","Santa Luisa","1"
"688","Santa Maria","1"
"689","Santa Regina","1"
"690","Santa Rosa","1"
"691","Santa Teresa","1"
"692","Santa Teresita","1"
"693","Santa Trinidad","1"
"694","Santo Domingo","1"
"695","Santos Lugares","1"
"696","Sarandi","1"
"697","Sarasa","1"
"698","Sevigne","1"
"699","Sierra Chica","1"
"700","Sierra De La Ventana","1"
"701","Sierra De Los Padres","1"
"702","Sierras Bayas","1"
"703","Smith","1"
"704","Sol De Mayo","1"
"705","Solanet","1"
"706","Solis","1"
"707","Stroeder","1"
"708","Suipacha","1"
"709","Sundblad","1"
"710","Tamangueyu","1"
"711","Tandil","1"
"712","Tapalque","1"
"713","Tapiales","1"
"714","Tedin Uriburu","1"
"715","Temperley","1"
"716","Teniente Origone","1"
"717","Thames","1"
"718","Tigre","1"
"719","Timote","1"
"720","Todd","1"
"721","Tolosa","1"
"722","Tomas Jofre","1"
"723","Tornquist","1"
"724","Torres","1"
"725","Tortuguitas","1"
"726","Tortuguitas","1"
"727","Tortuguitas","1"
"728","Transradio","1"
"729","Trenque Lauquen","1"
"730","Tres Algarrobos (Est. Cuenca)","1"
"731","Tres Arroyos","1"
"732","Tres De Febrero","1"
"733","Tres Lomas","1"
"734","Tres Picos","1"
"735","Tres Sargentos","1"
"736","Tristan Suarez","1"
"737","Tronge","1"
"738","Trujui","1"
"739","Turdera","1"
"740","Udaquiola","1"
"741","Urdampilleta","1"
"742","Uribelarrea","1"
"743","Valdes","1"
"744","Valentin Alsina","1"
"745","Valeria Del Mar","1"
"746","Vasquez","1"
"747","Vedia","1"
"748","Velloso","1"
"749","Veronica","1"
"750","Vicente Casares","1"
"751","Vicente Lopez","1"
"752","Victoria","1"
"753","Vieytes","1"
"754","Villa  Eduardo Madero","1"
"755","Villa Adelina","1"
"756","Villa Adelina","1"
"757","Villa Alfredo Fortabat","1"
"758","Villa Alsina (Est. Alsina)","1"
"759","Villa Angelica (Est. El Socorro)","1"
"760","Villa Arg�oELLO","1"
"761","Villa Arrieta","1"
"762","Villa Astolfi","1"
"763","Villa Ayacucho","1"
"764","Villa Ballester","1"
"765","Villa Bernardo Monteagudo","1"
"766","Villa Bordeau","1"
"767","Villa Bosch (Est. Juan Maria Bosch)","1"
"768","Villa Brown","1"
"769","Villa Cacique (Est. Alfredo Fortabat)","1"
"770","Villa Campi","1"
"771","Villa Canto","1"
"772","Villa Castelar (Est. Erize)","1"
"773","Villa Catela","1"
"774","Villa Centenario","1"
"775","Villa Chacabuco","1"
"776","Villa Coronel Jose M. Zapiola","1"
"777","Villa De Mayo","1"
"778","Villa Del Mar","1"
"779","Villa Dolores","1"
"780","Villa Dominico","1"
"781","Villa Elisa","1"
"782","Villa Elvira","1"
"783","Villa España","1"
"784","Villa Esperanza","1"
"785","Villa Espil","1"
"786","Villa Espora","1"
"787","Villa Fiorito","1"
"788","Villa Flandria Norte","1"
"789","Villa Flandria Sur","1"
"790","Villa Francia (Est. Coronel Granada)","1"
"791","Villa Garibaldi","1"
"792","Villa General Antonio J. De Sucre","1"
"793","Villa General Arias (Est. Kilometro 638)","1"
"794","Villa General Eugenio Necochea","1"
"795","Villa General Fournier (Est. 9 De Julio Sud)","1"
"796","Villa General Jose Tomas Guido","1"
"797","Villa General Juan G. Las Heras","1"
"798","Villa General Savio (Est. Sanchez)","1"
"799","Villa Gesell","1"
"800","Villa Gobernador Udaondo","1"
"801","Villa Godoy Cruz","1"
"802","Villa Granaderos De San Martin","1"
"803","Villa Gregoria Matorras","1"
"804","Villa Grisolia (Est. Achupallas)","1"
"805","Villa Hermosa","1"
"806","Villa Independencia","1"
"807","Villa Iris","1"
"808","Villa Jose Leon Suarez","1"
"809","Villa Juan Martin De Pueyrredon","1"
"810","Villa La Arcadia","1"
"811","Villa La Florida","1"
"812","Villa La Serrania","1"
"813","Villa Laguna La Brava","1"
"814","Villa Las Encadenadas","1"
"815","Villa Lia","1"
"816","Villa Libertad","1"
"817","Villa Luzuriaga","1"
"818","Villa Lynch","1"
"819","Villa Lynch Pueyrredon","1"
"820","Villa Maipu","1"
"821","Villa Manuel Pomar","1"
"822","Villa Margarita","1"
"823","Villa Maria","1"
"824","Villa Maria Irene De Los Remedios De Escalada","1"
"825","Villa Marques Alejandro Maria De Aguado","1"
"826","Villa Martelli","1"
"827","Villa Moll (Est. Moll)","1"
"828","Villa Montoro","1"
"829","Villa Nueva","1"
"830","Villa Ortiz (Est. Coronel Mom)","1"
"831","Villa Parque Cecir","1"
"832","Villa Parque Girado","1"
"833","Villa Parque Presidente Figueroa Alcorta","1"
"834","Villa Parque San Lorenzo","1"
"835","Villa Parque Sicardi","1"
"836","Villa Porteña","1"
"837","Villa Progreso","1"
"838","Villa Raffo","1"
"839","Villa Ramallo","1"
"840","Villa Riccio","1"
"841","Villa Roch","1"
"842","Villa Rodriguez (Est. Barrow)","1"
"843","Villa Rosa","1"
"844","Villa Roth (Est. Ingeniero Balbin)","1"
"845","Villa Ruiz","1"
"846","Villa Saboya","1"
"847","Villa San Andres","1"
"848","Villa San Carlos","1"
"849","Villa San Jose","1"
"850","Villa San Luis","1"
"851","Villa Santa Rosa","1"
"852","Villa Santos Tesei","1"
"853","Villa Sarmiento","1"
"854","Villa Sauze","1"
"855","Villa Serrana La Gruta","1"
"856","Villa Vatteone","1"
"857","Villa Ventana","1"
"858","Villa Yapeyu","1"
"859","Villa Zula","1"
"860","Villalonga","1"
"861","Villanueva  (Ap. Rio Salado)","1"
"862","Villars","1"
"863","Viña","1"
"864","Virrey Del Pino","1"
"865","Virreyes","1"
"866","Vivorata","1"
"867","Warnes","1"
"868","Wilde","1"
"869","William C. Morris","1"
"870","Yutuyaco","1"
"871","Zarate","1"
"872","Zavalia","1"
"873","Zelaya","1"
"874","Zenon Videla Dorna","1"
"875","Zona Aeropuerto Internacional Ezeiza","1"
"876","11 De Septiembre","1"
"877","12 De Octubre","1"
"878","16 De Julio","1"
"879","17 De Agosto","1"
"880","20 De Junio","1"
"881","25 De Mayo","1"
"882","30 De Agosto","1"
"883","9 De Abril","1"
"884","9 De Julio","1"
"885","Aconquija","2"
"886","Adolfo E. Carranza","2"
"887","Alijilan","2"
"888","Alto De Las Juntas","2"
"889","Amadores","2"
"890","Amanao","2"
"891","Ancasti","2"
"892","Andalgala","2"
"893","Andalhuala","2"
"894","Anillaco","2"
"895","Anquincila","2"
"896","Antinaco","2"
"897","Antofagasta De La Sierra","2"
"898","Antofalla","2"
"899","Apoyaco","2"
"900","Balde De La Punta","2"
"901","Banda De Lucero","2"
"902","Bañado De Ovanta","2"
"903","Barranca Larga","2"
"904","Barrio Bancario","2"
"905","Belen","2"
"906","Buena Vista","2"
"907","Capayan","2"
"908","Casa De Piedra","2"
"909","Casa De Piedra","2"
"910","Caspichango","2"
"911","Cerro Negro","2"
"912","Chañar Punco","2"
"913","Chaquiago","2"
"914","Choya","2"
"915","Chuchucaruana","2"
"916","Chumbicha","2"
"917","Colana","2"
"918","Collagasta","2"
"919","Colonia Del Valle","2"
"920","Colonia Nueva Coneta","2"
"921","Colpes","2"
"922","Colpes","2"
"923","Concepcion","2"
"924","Condor Huasi","2"
"925","Coneta","2"
"926","Copacabana","2"
"927","Cordobita","2"
"928","Corral Quemado","2"
"929","Costa De Reyes","2"
"930","El Alamito","2"
"931","El Alamito","2"
"932","El Alto","2"
"933","El Aybal","2"
"934","El Bañado","2"
"935","El Bañado","2"
"936","El Bañado","2"
"937","El Bolson","2"
"938","El Cajon","2"
"939","El Cerrito","2"
"940","El Desmonte","2"
"941","El Divisadero","2"
"942","El Durazno","2"
"943","El Hueco","2"
"944","El Lindero","2"
"945","El Pajonal (Est. Poman)","2"
"946","El Pantanillo","2"
"947","El Peñon","2"
"948","El Portezuelo","2"
"949","El Potrero","2"
"950","El Pueblito","2"
"951","El Puesto","2"
"952","El Puesto","2"
"953","El Quimilo","2"
"954","El Rodeo","2"
"955","El Rosario","2"
"956","El Salado","2"
"957","Esquiu","2"
"958","Famatanca","2"
"959","Farallon Negro","2"
"960","Fiambala","2"
"961","Fuerte Quemado","2"
"962","Guayamba","2"
"963","Hualfin","2"
"964","Huaycama","2"
"965","Huaycama","2"
"966","Huillapima","2"
"967","Icaño","2"
"968","Infanzon","2"
"969","Jacipunco","2"
"970","Joyango","2"
"971","La Aguada","2"
"972","La Bajada","2"
"973","La Candelaria","2"
"974","La Carrera","2"
"975","La Dorada","2"
"976","La Falda De San Antonio","2"
"977","La Guardia","2"
"978","La Higuera","2"
"979","La Hoyada","2"
"980","La Loma","2"
"981","La Majada","2"
"982","La Merced","2"
"983","La Mesada","2"
"984","La Puerta","2"
"985","La Puntilla","2"
"986","La Puntilla","2"
"987","La Puntilla","2"
"988","La Ramadita","2"
"989","La Tercena","2"
"990","La Viña","2"
"991","Lampacito","2"
"992","Las Cañas","2"
"993","Las Chacritas","2"
"994","Las Esquinas","2"
"995","Las Juntas","2"
"996","Las Juntas","2"
"997","Las Lajas","2"
"998","Las Mojarras","2"
"999","Las Palmitas","2"
"1000","Las Tejas","2"
